|hashtag|job_id|tweet_id_str
0|Redskins|1|856906838004178945
1|Missouri|1|856906416224862212
2|roleplay|1|856906416224862212
3|hotgirl|1|856906416224862212
4|love|1|856906416224862212
5|orgazm|1|856906416224862212
6|Valparaiso|1|856906180932907008
7|SCOMO|1|856905983104299008
8|InTheNews|1|856905946299342849
9|PAT|1|856905946299342849
10|BearcatRoar|1|856905747153727489
11|Homeloans|1|856905680732774401
12|Kansas|1|856905680732774401
13|missouri|1|856905680732774401
14|HeartWalkSGF|1|856905550625480705
15|MOleg|1|856905400125464580
16|NeilGorsuch|1|856905300137332736
17|listing|1|856905232277577728
18|Borger|1|856905232277577728
19|TX|1|856905232277577728
20|Valparaiso|1|856905192415019008
21|constantcontact|1|856905007127564289
22|Rolla|1|856904977721073664
23|job|1|856904977721073664
24|Nursing|1|856904977721073664
25|Hiring|1|856904977721073664
26|moleg|1|856904920443871232
27|MoLeg|1|856904749777420288
28|MoLeg|1|856904716982378498
29|Missouri|1|856904709252239361
30|MissouriHomeMatters|1|856904709252239361
31|MissouriHomeMatters|1|856904709252239361
32|WWEKansasCity|1|856904586401021952
33|InTheNews|1|856904452053360642
34|PAT|1|856904452053360642
35|Missouri|1|856904418943537152
36|EarthDay|1|856904394457194496
37|Missouri|1|856904394457194496
38|VaccinesWork|1|856904386353668096
39|NeilGorsuch|1|856904344808988672
40|SCOTUS|1|856904344808988672
41|agriculture|1|856904323359440901
42|LakeoftheOzarks|1|856904285505847299
43|Missouri|1|856904285505847299
44|funlake|1|856904285505847299
45|missingperson|1|856904217222668288
46|kansascity|1|856904217222668288
47|missouri|1|856904217222668288
48|stlwx|1|856903916306522113
49|mowx|1|856903916306522113
50|ilwx|1|856903916306522113
51|HeartWalkSGF|1|856903892319318016
52|StLouis|1|856903851693064192
53|job|1|856903851693064192
54|Hiring|1|856903851693064192
55|CPR|1|856903774518095872
56|GiraLTDN2017|1|856903693979066368
57|Kansas|1|856903693979066368
58|Missouri|1|856903693979066368
59|News|2|856906851715170305
60|RT|2|856906851715170305
61|Texas|2|856906833935515649
62|nudes|2|856906833935515649
63|instagood|2|856906833935515649
64|companion|2|856906833935515649
65|orgy|2|856906833935515649
66|maddow|2|856906830433406976
67|dragonsquad|2|856906830416576512
68|Laredo|2|856906803862544390
69|Texas|2|856906803862544390
70|JakeBase|2|856906803862544390
71|Mocoa|2|856906800184135680
72|Texas|2|856906777182523392
73|AmericasGP|2|856906696068743168
74|Texas|2|856906690847002626
75|lamojarritagtz|2|856906661730168834
76|brownsville|2|856906661730168834
77|harlingen|2|856906661730168834
78|mcallen|2|856906661730168834
79|laredo|2|856906661730168834
80|rgv|2|856906661730168834
81|Texas|2|856906648727601153
82|Zika|2|856906648727601153
83|Texans|2|856906642486681602
